depth,deviation_pct,backstep,spacing_type,spacing,max_layers,tp_multiple,trades,total_return_pct,avg_monthly_return_pct,median_monthly_return_pct,best_month_pct,worst_month_pct,max_drawdown_pct,win_rate_pct,avg_trade_pct,avg_layers
30,1.25,2,usd,2000.0,10,2.0,14,-100.0,7.241772491145726,7.241772491145726,14.096414728010187,0.3871302542812663,16.037416943605326,100.0,3.6956525098424993,2.7857142857142856
30,1.25,3,usd,2000.0,10,2.0,14,-100.0,7.241772491145726,7.241772491145726,14.096414728010187,0.3871302542812663,16.037416943605326,100.0,3.6956525098424993,2.7857142857142856
30,1.25,5,usd,2000.0,10,2.0,14,-100.0,7.241772491145726,7.241772491145726,14.096414728010187,0.3871302542812663,16.037416943605326,100.0,3.6956525098424993,2.7857142857142856
30,1.25,8,usd,2000.0,10,2.0,14,-100.0,7.241772491145726,7.241772491145726,14.096414728010187,0.3871302542812663,16.037416943605326,100.0,3.6956525098424993,2.7857142857142856
30,1.25,10,usd,2000.0,10,2.0,14,-100.0,7.241772491145726,7.241772491145726,14.096414728010187,0.3871302542812663,16.037416943605326,100.0,3.6956525098424993,2.7857142857142856
30,1.25,15,usd,2000.0,10,2.0,14,-100.0,7.241772491145726,7.241772491145726,14.096414728010187,0.3871302542812663,16.037416943605326,100.0,3.6956525098424993,2.7857142857142856
30,1.25,2,pct,2.0,10,2.0,14,-100.0,6.884888882997435,6.884888882997435,13.366756312738238,0.40302145325663286,14.796401944103474,100.0,4.072006521667273,2.2857142857142856
30,1.25,3,pct,2.0,10,2.0,14,-100.0,6.884888882997435,6.884888882997435,13.366756312738238,0.40302145325663286,14.796401944103474,100.0,4.072006521667273,2.2857142857142856
30,1.25,5,pct,2.0,10,2.0,14,-100.0,6.884888882997435,6.884888882997435,13.366756312738238,0.40302145325663286,14.796401944103474,100.0,4.072006521667273,2.2857142857142856
30,1.25,8,pct,2.0,10,2.0,14,-100.0,6.884888882997435,6.884888882997435,13.366756312738238,0.40302145325663286,14.796401944103474,100.0,4.072006521667273,2.2857142857142856
30,1.25,10,pct,2.0,10,2.0,14,-100.0,6.884888882997435,6.884888882997435,13.366756312738238,0.40302145325663286,14.796401944103474,100.0,4.072006521667273,2.2857142857142856
30,1.25,15,pct,2.0,10,2.0,14,-100.0,6.884888882997435,6.884888882997435,13.366756312738238,0.40302145325663286,14.796401944103474,100.0,4.072006521667273,2.2857142857142856
5,1.25,2,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
5,1.25,3,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
5,1.25,5,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
15,1.25,2,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
15,1.25,3,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
15,1.25,5,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
15,1.25,8,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
15,1.25,10,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
15,1.25,15,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
20,1.25,2,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
20,1.25,3,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
20,1.25,5,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
20,1.25,8,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
20,1.25,10,usd,2000.0,10,2.0,13,-100.0,6.619809629607515,6.619809629607515,12.852489004933762,0.3871302542812663,16.037416943605358,100.0,3.698269408186021,2.769230769230769
5,1.25,2,pct,2.0,10,2.0,13,-100.0,6.4167670421658,6.4167670421658,12.430512631074969,0.40302145325663286,14.796401944103458,100.0,4.066100643632142,2.3076923076923075
